@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.16394156,2613
0.1683512,2614
0.17189206,2615
0.16527966,2616
0.14667521,2617
0.13931775,2618
0.15335427,2619
0.17527369,2620
0.2270579,2621
0.23423414,2622
0.15902798,2623
0.16117115,2624
0.1610875,2625
0.16072717,2626
0.18326071,2627
0.18036394,2628
0.16779779,2629
0.17424093,2630
0.17212033,2631
0.19586444,2632
0.1749982,2633
0.20286654,2634
0.21382235,2635
0.17233206,2636
0.17680034,2637
0.16994666,2638
0.17933996,2639
0.16368257,2640
0.17441338,2641
0.16142361,2642
0.13229084,2643
0.13494456,2644
0.1431934,2645
0.13072838,2646
0.16537921,2647
0.21212064,2648
0.2119274,2649
0.21122761,2650
0.23021536,2651
0.21018694,2652
0.21352863,2653
0.20907101,2654
0.24807952,2655
0.22866473,2656
0.22659378,2657
0.20724794,2658
0.1888199,2659
0.16471519,2660
0.117048204,2661
0.1530853,2662
0.17424032,2663
0.15433364,2664
0.169313,2665
0.15724553,2666
0.15462229,2667
0.1586023,2668
0.17240782,2669
0.16101333,2670
0.15246311,2671
0.1574437,2672
0.14684564,2673
0.14131272,2674
0.17412975,2675
0.23683028,2676
0.19824567,2677
0.1648286,2678
0.18125178,2679
0.19293287,2680
0.21637027,2681
0.22513051,2682
0.226098,2683
0.21444495,2684
0.22521436,2685
0.22103399,2686
0.2440975,2687
0.23869032,2688
0.24072655,2689
0.22695851,2690
0.2201712,2691
0.22567877,2692
0.22101031,2693
0.2444303,2694
0.21649313,2695
0.17657161,2696
0.18876441,2697
0.21666321,2698
0.1986146,2699
0.20606735,2700
0.22516052,2701
0.2482542,2702
0.21237351,2703
0.21337372,2704
0.20164426,2705
0.17462793,2706
0.16949773,2707
0.13794723,2708
0.14414038,2709
0.1517583,2710
0.15400034,2711
0.13974838,2712
0.11763569,2713
0.12658067,2714
0.12109702,2715
0.13552172,2716
0.17714465,2717
0.16043758,2718
0.15648912,2719
0.17435895,2720
0.16190326,2721
0.15007332,2722
0.16955937,2723
0.16622202,2724
0.18570161,2725
0.20429593,2726
0.18183336,2727
0.15097922,2728
0.12978409,2729
0.17711437,2730
0.2368239,2731
0.18684809,2732
0.14754999,2733
0.15104246,2734
0.14664297,2735
0.15890986,2736
0.18571377,2737
0.20712817,2738
0.17907564,2739
0.18053085,2740
0.14453919,2741
0.12860562,2742
0.08697517,2743
0.099087745,2744
0.17998841,2745
0.24592218,2746
0.25584278,2747
0.25731412,2748
0.23914245,2749
0.2245208,2750
0.24466915,2751
0.2326314,2752
0.23988214,2753
0.2702912,2754
0.19840726,2755
0.1546648,2756
0.1342435,2757
0.1470241,2758
0.21047145,2759
0.18666151,2760
0.15872441,2761
0.16299586,2762
0.17257617,2763
0.18148662,2764
0.18384454,2765
0.19374633,2766
0.12606673,2767
0.07052049,2768
